20121004_191449_732  861 -80.01727294 40.42338982 2 MostlyCloudy
20121004_191449_732  867 -80.01739714 40.42351812 2 MostlyCloudy
20121004_191449_732  870 -80.01746030 40.42358179 2 MostlyCloudy
20121004_191449_732  876 -80.01758689 40.42370849 2 MostlyCloudy
20121004_191449_732  880 -80.01766940 40.42379179 2 MostlyCloudy
20121004_191449_732  886 -80.01779455 40.42391533 2 MostlyCloudy
20121004_191449_732  890 -80.01787866 40.42399696 2 MostlyCloudy
20121004_191449_732  895 -80.01798147 40.42409465 2 MostlyCloudy
20121004_191449_732  900 -80.01808643 40.42419269 2 MostlyCloudy
20121004_191449_732  905 -80.01819350 40.42429104 2 MostlyCloudy
20121004_191449_732  910 -80.01829809 40.42438824 2 MostlyCloudy
20121004_191449_732  914 -80.01838203 40.42446478 2 MostlyCloudy
20121004_191449_732  921 -80.01852902 40.42459577 2 MostlyCloudy
20121004_191449_732  924 -80.01859121 40.42465142 2 MostlyCloudy
20121004_191449_732  932 -80.01875194 40.42479794 2 MostlyCloudy
20121004_191656_454   20 -80.01919295 40.42519260 2 MostlyCloudy
20121004_191656_454   39 -80.01939802 40.42538762 2 MostlyCloudy
20121004_191656_454   68 -80.01957486 40.42559558 2 MostlyCloudy
20121004_191656_454   97 -80.01974293 40.42579861 2 MostlyCloudy
20121004_191656_454  106 -80.01979509 40.42586162 2 MostlyCloudy
20121004_191656_454  125 -80.01990521 40.42599464 2 MostlyCloudy
20121004_191656_454  141 -80.01999794 40.42610666 2 MostlyCloudy
20121004_191656_454  156 -80.02019006 40.42607358 2 MostlyCloudy
20121004_191656_454  167 -80.02038204 40.42615096 2 MostlyCloudy
20121004_191656_454  173 -80.02051342 40.42619512 2 MostlyCloudy
20121004_191656_454  177 -80.02059763 40.42622863 2 MostlyCloudy
20121004_191656_454  186 -80.02078368 40.42632402 2 MostlyCloudy
20121004_191656_454  193 -80.02093875 40.42639941 2 MostlyCloudy
20121004_191656_454  204 -80.02119072 40.42650199 2 MostlyCloudy
20121004_191656_454  213 -80.02139866 40.42659116 2 MostlyCloudy
20121004_191656_454  221 -80.02158854 40.42667846 2 MostlyCloudy
20121004_191656_454  231 -80.02179691 40.42677033 2 MostlyCloudy
20121004_191656_454  235 -80.02186123 40.42679901 2 MostlyCloudy
20121004_191656_454  239 -80.02197393 40.42684646 2 MostlyCloudy
20121004_191656_454  245 -80.02218115 40.42693347 2 MostlyCloudy
20121004_191656_454  251 -80.02232198 40.42699670 2 MostlyCloudy
20121004_191656_454  254 -80.02239351 40.42702978 2 MostlyCloudy
20121004_191656_454  262 -80.02258515 40.42711377 2 MostlyCloudy
20121004_191656_454  270 -80.02277425 40.42719719 2 MostlyCloudy
20121004_191656_454  279 -80.02297874 40.42729545 2 MostlyCloudy
20121004_191656_454  288 -80.02316821 40.42739918 2 MostlyCloudy
20121004_191656_454  300 -80.02339064 40.42756865 2 MostlyCloudy
20121004_191656_454  313 -80.02359300 40.42778738 2 MostlyCloudy
20121004_191656_454  324 -80.02374159 40.42799292 2 MostlyCloudy
20121004_191656_454  329 -80.02379605 40.42809060 2 MostlyCloudy
20121004_191656_454  334 -80.02384586 40.42819195 2 MostlyCloudy
20121004_191656_454  344 -80.02393820 40.42839880 2 MostlyCloudy
20121004_191656_454  350 -80.02399378 40.42852680 2 MostlyCloudy
20121004_191656_454  353 -80.02402177 40.42859114 2 MostlyCloudy
20121004_191656_454  362 -80.02410717 40.42878442 2 MostlyCloudy
20121004_191656_454  370 -80.02418953 40.42895554 2 MostlyCloudy
20121004_191656_454  381 -80.02431626 40.42918619 2 MostlyCloudy
20121004_191656_454  387 -80.02439069 40.42931171 2 MostlyCloudy
20121004_191656_454  391 -80.02444141 40.42939496 2 MostlyCloudy
20121004_191656_454  401 -80.02457666 40.42959860 2 MostlyCloudy
20121004_191656_454  411 -80.02473886 40.42979034 2 MostlyCloudy
20121004_191656_454  414 -80.02479356 40.42984670 2 MostlyCloudy
20121004_191656_454  421 -80.02493127 40.42998013 2 MostlyCloudy
20121004_191656_454  424 -80.02499960 40.43003976 2 MostlyCloudy
20121004_191656_454  432 -80.02517987 40.43018762 2 MostlyCloudy
20121004_191656_454  442 -80.02539990 40.43035794 2 MostlyCloudy
20121004_191656_454  451 -80.02559247 40.43050292 2 MostlyCloudy
20121004_191656_454  457 -80.02571706 40.43059783 2 MostlyCloudy
20121004_191656_454  460 -80.02578022 40.43064778 2 MostlyCloudy
20121004_191656_454  469 -80.02596741 40.43078978 2 MostlyCloudy
20121004_191656_454  497 -80.02652428 40.43119543 2 MostlyCloudy
20121004_191656_454  500 -80.02658218 40.43123835 2 MostlyCloudy
20121004_191656_454  511 -80.02679105 40.43138634 2 MostlyCloudy
20121004_191656_454  522 -80.02698387 40.43151012 2 MostlyCloudy
20121004_191656_454  534 -80.02719795 40.43159560 2 MostlyCloudy
20121004_191656_454  543 -80.02738635 40.43162548 2 MostlyCloudy
20121004_191656_454  553 -80.02758336 40.43161625 2 MostlyCloudy
20121004_191656_454  577 -80.02799825 40.43141112 2 MostlyCloudy
20121004_191656_454  592 -80.02818217 40.43120262 2 MostlyCloudy
20121004_191656_454  606 -80.02824813 40.43101007 2 MostlyCloudy
20121004_191656_454  616 -80.02830326 40.43081176 2 MostlyCloudy
20121004_191903_419  119 -80.03061079 40.42282433 2 MostlyCloudy
20121004_191903_419  338 -80.03637583 40.42020872 2 MostlyCloudy
20121004_191903_419  344 -80.03659263 40.42024070 2 MostlyCloudy
20121004_191903_419  349 -80.03677685 40.42026682 2 MostlyCloudy
20121004_191903_419  414 -80.03918456 40.42062144 2 MostlyCloudy
20121004_191903_419  418 -80.03936341 40.42064463 2 MostlyCloudy
20121004_191903_419  424 -80.03959927 40.42067650 2 MostlyCloudy
20121004_191903_419  429 -80.03979292 40.42070186 2 MostlyCloudy
20121004_191903_419  434 -80.03998730 40.42072658 2 MostlyCloudy
20121004_191903_419  450 -80.04057315 40.42080974 2 MostlyCloudy
20121004_191903_419  454 -80.04076197 40.42083961 2 MostlyCloudy
20121004_191903_419  539 -80.04408044 40.42119895 2 MostlyCloudy
20121004_191903_419  542 -80.04419384 40.42120629 2 MostlyCloudy
20121004_191903_419  547 -80.04438208 40.42121421 2 MostlyCloudy
20121004_191903_419  552 -80.04456928 40.42121625 2 MostlyCloudy
20121004_191903_419  558 -80.04479137 40.42121380 2 MostlyCloudy
20121004_191903_419  563 -80.04497488 40.42120917 2 MostlyCloudy
20121004_191903_419  569 -80.04519368 40.42120084 2 MostlyCloudy
20121004_191903_419  574 -80.04537508 40.42119146 2 MostlyCloudy
20121004_191903_419  580 -80.04558816 40.42118144 2 MostlyCloudy
20121004_191903_419  586 -80.04579999 40.42117028 2 MostlyCloudy
20121004_191903_419  591 -80.04597495 40.42115838 2 MostlyCloudy
20121004_191903_419  597 -80.04618165 40.42113883 2 MostlyCloudy
20121004_191903_419  616 -80.04678986 40.42108688 2 MostlyCloudy
20121004_191903_419  623 -80.04699580 40.42106288 2 MostlyCloudy
20121004_191903_419  630 -80.04718129 40.42104176 2 MostlyCloudy
20121004_191903_419  639 -80.04738795 40.42102948 2 MostlyCloudy
20121004_191903_419  648 -80.04758037 40.42103144 2 MostlyCloudy
20121004_191903_419  672 -80.04795918 40.42119822 2 MostlyCloudy
20121004_191903_419  686 -80.04807710 40.42139946 2 MostlyCloudy
20121004_191903_419  698 -80.04812622 40.42158654 2 MostlyCloudy
20121004_191903_419  714 -80.04819318 40.42179917 2 MostlyCloudy
20121004_191903_419  902 -80.04826871 40.42199811 2 MostlyCloudy
20121005_182526_962   19 -80.09858427 40.58334658 2 PartlyCloudy
20121005_182526_962   26 -80.09873833 40.58358047 2 PartlyCloudy
20121005_182526_962   29 -80.09879799 40.58367464 2 PartlyCloudy
20121005_182526_962   32 -80.09885398 40.58377081 2 PartlyCloudy
20121005_182526_962   39 -80.09897822 40.58399368 2 PartlyCloudy
20121005_182526_962   45 -80.09907301 40.58419163 2 PartlyCloudy
20121005_182526_962   50 -80.09914064 40.58437171 2 PartlyCloudy
20121005_182526_962   54 -80.09919131 40.58451347 2 PartlyCloudy
20121005_182526_962   56 -80.09921636 40.58458416 2 PartlyCloudy
20121005_182526_962   62 -80.09928233 40.58479489 2 PartlyCloudy
20121005_182526_962   67 -80.09933149 40.58496977 2 PartlyCloudy
20121005_182526_962   73 -80.09938462 40.58517928 2 PartlyCloudy
