20130930_054913_923  321 -80.00485107 40.43780061 3 PartlyCloudy
20130930_054913_923  328 -80.00461258 40.43771379 3 PartlyCloudy
20130930_054913_923  334 -80.00441090 40.43763889 3 PartlyCloudy
20130930_054913_923  337 -80.00431097 40.43760128 3 PartlyCloudy
20130930_054913_923  340 -80.00421175 40.43756374 3 PartlyCloudy
20130930_054913_923  346 -80.00401376 40.43748869 3 PartlyCloudy
20130930_054913_923  352 -80.00381658 40.43741367 3 PartlyCloudy
20130930_054913_923  358 -80.00361893 40.43733918 3 PartlyCloudy
20130930_054913_923  364 -80.00342243 40.43726441 3 PartlyCloudy
20130930_054913_923  369 -80.00325929 40.43720178 3 PartlyCloudy
20130930_054913_923  376 -80.00302375 40.43711416 3 PartlyCloudy
20130930_054913_923  382 -80.00282690 40.43704010 3 PartlyCloudy
20130930_054913_923  385 -80.00272941 40.43700322 3 PartlyCloudy
20130930_054913_923  389 -80.00260214 40.43695444 3 PartlyCloudy
20130930_054913_923  395 -80.00240736 40.43688025 3 PartlyCloudy
20130930_054913_923  401 -80.00220901 40.43680520 3 PartlyCloudy
20130930_054913_923  407 -80.00201279 40.43673090 3 PartlyCloudy
20130930_054913_923  414 -80.00180191 40.43663252 3 PartlyCloudy
20130930_054913_923  416 -80.00174108 40.43660564 3 PartlyCloudy
20130930_054913_923  420 -80.00161573 40.43655740 3 PartlyCloudy
20130930_054913_923  426 -80.00142576 40.43648421 3 PartlyCloudy
20130930_054913_923  432 -80.00123590 40.43641039 3 PartlyCloudy
20130930_054913_923  443 -80.00100488 40.43631501 3 PartlyCloudy
20130930_054913_923  484 -79.99971920 40.43560250 3 PartlyCloudy
20130930_054913_923  495 -79.99939777 40.43541324 3 PartlyCloudy
20130930_054913_923  520 -79.99864793 40.43500704 3 PartlyCloudy
20130930_054913_923  534 -79.99821134 40.43481262 3 PartlyCloudy
20130930_054913_923  550 -79.99768004 40.43460104 3 PartlyCloudy
20130930_054913_923  564 -79.99720888 40.43445470 3 PartlyCloudy
20130930_054913_923  570 -79.99700060 40.43440332 3 PartlyCloudy
20130930_054913_923  586 -79.99643216 40.43423864 3 PartlyCloudy
20130930_054913_923  615 -79.99540182 40.43405883 3 PartlyCloudy
20130930_054913_923  620 -79.99521603 40.43403941 3 PartlyCloudy
20130930_054913_923  684 -79.99282383 40.43389275 3 PartlyCloudy
20130930_054913_923  690 -79.99260385 40.43387977 3 PartlyCloudy
20130930_054913_923  695 -79.99241973 40.43386906 3 PartlyCloudy
20130930_055047_821   38 -79.98962221 40.43380467 3 PartlyCloudy
20130930_055047_821   43 -79.98943182 40.43381376 3 PartlyCloudy
20130930_055047_821   48 -79.98923501 40.43382824 3 PartlyCloudy
20130930_055047_821   53 -79.98903629 40.43384431 3 PartlyCloudy
20130930_055047_821   58 -79.98883585 40.43386176 3 PartlyCloudy
20130930_055047_821   63 -79.98863530 40.43387818 3 PartlyCloudy
20130930_055047_821   68 -79.98843468 40.43389389 3 PartlyCloudy
20130930_055047_821   74 -79.98820626 40.43391834 3 PartlyCloudy
20130930_055047_821   79 -79.98801909 40.43393661 3 PartlyCloudy
20130930_055047_821  100 -79.98723040 40.43401277 3 PartlyCloudy
20130930_055047_821  105 -79.98703360 40.43403614 3 PartlyCloudy
20130930_055047_821  111 -79.98680348 40.43406323 3 PartlyCloudy
20130930_055047_821  116 -79.98661817 40.43408446 3 PartlyCloudy
